Date,Title,Link,Article Text
2024-12-03,"How Malaysians are cutting electricity costs with solar energy for long-term savings, sustainability as prices drop and govt incentives grow",https://www.malaymail.com/news/malaysia/2024/12/03/how-malaysians-are-cutting-electricity-costs-with-solar-energy-for-long-term-savings-sustainability-as-prices-drop-and-govt-incentives-grow/158371,"KUALA LUMPUR, Dec 3 — When Jeffrey Chou moved into his new home in Damansara, he anticipated high electricity bills due to his fish pond and nine air conditioners. His concerns grew when a two-week family vacation resulted in a bill still running into the hundreds. This prompted him to explore solar power as an alternative. At the time, Chou’s electricity bills for his two-storey terrace house averaged between RM900 and RM1,100 per month. “Having tracked (electricity bills) consistently at RM1,000 or more per month and wondering why the bill was still so high (while away from home) during the vacation, it was time to look into investing in solar power as a long-term investment,” he said when contacted. About a month ago, he installed 27 solar panels and the accompanying system for RM34,000, significantly lowering his expenses. Although Chou is ineligible for rebates under the NEM 3.0 (Net Energy Metering) scheme, which has reached its quota, he still saves on electricity. “We’re not eligible for any kickbacks as the government’s NEM 3.0 (Net Energy Metering) quota is full, but we’re still saving on electricity as the bill is now around RM650-RM700 per month. “Once the quota is open and we get a slot, then we can look into getting returns on our investment,” he said when contacted. “The alternative was to keep spending money (paying electricity bills as usual), knowing it’ll increase in the future, so this was a good financial decision.”   Another homeowner, Muhammad Hazwan Yunus from Keramat, faced similar issues with monthly electricity bills of RM650 to RM700 and rising. He, too, had nine air conditioners at home and his situation was compounded by frequent family gatherings that spiked electricity usage, especially during weekends. Hazwan turned to solar financing and found companies which offers system installation with no upfront costs. Initially sceptical, he researched the concept and found it viable. “You rent the system with a meter installed, and the company charges you accordingly,” he said. “I took this substitution plan from Sols Energy and they installed the system, but now I have two bills. One to Sols, who charge 46 cents per kWh (Kilowatt-hours), and the other to TNB. “Now the TNB bill is around RM60 and the Sols bill is around RM420. I still save,” he toldMalay Mail. According to TNB’s bill calculator, homeowners consuming between 2,000 and 2,300 kWh monthly — leading to bills of RM1,000 to RM1,200 — would see their costs rise to RM1,300 to RM1,500 after adding the 8 per cent service tax. To understand how many kWh you’re using, clickthis link to TNB’s bill calculator. As of January 1, 2024, electricity prices in Malaysia are as follows: According to solar panel installersMalay Mailspoke to, for residential solar systems, the maximum capacity is 17 kWh, which can save households between RM950 and RM1,000 per month. A typical solar panel generates 400 to 500 watts, so a 22-panel system produces about 11 kWh. The cheapest installations cater to homes with RM200 to RM250 monthly bills, while the priciest systems target households with bills exceeding RM1,500. Meanwhile, prices for solar installations have dropped by 20 per cent. A vendor highlighted that the price of a 22-panel solar system has dropped from RM43,000 last year to RM36,000, thanks to improved panel quality and increased imports from China, which have contributed to these cost reductions. Abdul Wahid Ibrahim, an IT manager in Johor, installed a solar system in June to manage bills that exceeded RM1,000, especially during school holidays when his kids were around. He viewed solar power as a strategic investment for long-term financial stability. “The setup includes 23 solar panels, generating 12.65 kWp for a three-phase power supply. I have 23 panels and my TNB bill is RM20-40 now and the entire thing cost around RM23,000.   “I pay RM560 monthly (for the solar panels) through a credit card instalment plan and RM20 to RM40 to TNB. This is about RM600 monthly compared to RM800 to RM1,000 previously,” he said. Abdul Wahid expects to break even in under five years. “At the moment, NEM 3.0 is a ten-year term, but once I’ve cleared this credit card payment, I will pay only RM40 per month,” he said. Abdul Wahid said he preferred to pay for the system outright as he could break even faster than taking a seven- to 10-year plan with a company. “Since I installed mine, I’ve noticed three or four other households in my area doing the same. “Panel prices are generally lower now compared to a year ago, but there might still be some variation. Back then, solar panels was much more expensive,” he said. “If you calculate properly, it’s manageable, and you can break even. Some people think it’s expensive, but with payment schedules — say, using a credit card stretched to 50 months — it becomes much cheaper. “Unfortunately, many vendors only partner with banks for shorter terms, like 12 to 36 months. If they offered financing for 48 to 60 months, it would be much easier for most people,” he added. Malaysian Photovoltaic Industry Association (MPIA) president Davis Chong observed a significant uptick in installations, with major urban centres like the Klang Valley, Johor and Penang leading the charge, with growing interest in states such as Kedah, Melaka, Perak and Negeri Sembilan. Chong said homeowners can expect to see returns on investment within five to eight years, with some achieving payback even sooner. “Over a 25-year period (the typical warranty period for solar panels), homeowners can save significantly on their electricity bills. “For example, a system that costs RM45,000 to install could save an estimated RM90,000 over 25 years,” he toldMalay Mail. Davis also said financing options have expanded, with solar loans and innovative business models making installations more affordable. Programmes like NEM and the SolaRIS rebate offer financial incentives, further encouraging adoption. Technological advancements, including Battery Energy Storage Systems (BESS), is also making a difference, allowing homeowners to store excess energy for later use.   Some new housing developments are also pre-installing solar systems, easing adoption for buyers. “On top of that, I think P2P (peer-to-peer) energy trading is a really interesting development. This allows homeowners to sell their extra solar energy to others, creating a new way to earn money from their systems. “It’s a win-win because it makes solar (energy) more financially attractive and could encourage more developers to invest in residential solar (systems),” Chong added. Sols Energy spokesperson and teacher Raj Ridvan Singh said urban and suburban areas, especially in states like Selangor, Negeri Sembilan and Pahang, are experiencing significant growth in solar adoption. He added that government incentives, such as the SolaRIS RM4,000 rebate, have significantly reduced installation costs, making solar more accessible for homeowners. The NEM scheme, introduced by the Malaysian government, reduces reliance on TNB by allowing households to supply excess solar energy back to the grid in exchange for credits. When solar energy is insufficient or during the night when sunlight is unavailable, TNB will supply the energy to meet the household's needs. According to the Sustainable Energy Development Authority (Seda), the current NEMrakyatquota balance is 44.7 MWac, though applications is around ten times that at 405.3 MWac. For more information on NEM quotas, visitSeda’s website."
2024-12-03,Senior Perak cop’s hit-and-run trial: Witness says Ativa driver delayed exiting car after collision that killed student,https://www.malaymail.com/news/malaysia/2024/12/02/senior-perak-cops-hit-and-run-trial-witness-says-ativa-driver-delayed-exiting-car-after-collision-that-killed-student/158713,"IPOH, Dec 2 — The High Court here was today told that Deputy Superintendent of Police (DSP) Mohd Nazri Abdul Razak did not get out of his car immediately after the road crash in which student Muhammad Zaharif Affendi Muhd Zamrie was killed. A teacher at Sekolah Menengah Jelapang Jaya, Azura Yusoff, 50, said the police officer only got down a few seconds later to walk towards the scene of the collision. She said she was on her way to pick up her 15-year-old daughter from Sekolah Menengah Kebangsaan Jati and arrived at the school grounds at 11.35am on December 15, 2023. The 16th prosecution witness said she parked her car behind a red Proton Saga near the main gate outside the school to wait for her daughter. “While I was in the car I heard a loud bang. I saw a car hit a motorcycle and the car’s right front and rear tyres ran over the motorcycle rider between the stomach and the chest,” she said. Azura said she was shocked to see the Perodua Ativa car collided with the motorcycle in front of the red Proton Saga car and honked her car when the (Perodua Ativa) driver did not get out of the car immediately after the collision. “A few seconds later, I saw the driver come out and walk towards the place of the collision. I can identify the driver. He was wearing a white T-shirt and black knee-length pants. “I was not sure what he did at the scene of the collision because I did not get out of my car,” she said when reading out her witness statement before High Court Judge Datuk Bhupindar Singh Gucharan Singh Preet here today. Meanwhile, Muhammad Shafiq Shamsul Kamar, 26, who is the 17th prosecution witness and owner of the motorcycle involved in the collision, told the court that the motorcycle, with its road tax and insurance not renewed since September 2023, was given to Muhammad Zaharif Affendi to be repaired. When cross-examined by lawyer Aiman Hakim Kamaruzzaman, representing Mohd Nazri, the technician told the court that he was not sure whether Muhammad Zaharif Affendi had the skills to repair motorcycles. Another prosecution witness, who is the technician’s younger brother, said he handed over the motorcycle to  Muhammad Zaharif Affendi, who was good at modifying motorcycles, to make some modifications to it. “The day before the incident, I met Zaharif at his house and Zaharif asked me if he could change the motorcycle exhaust and I agreed to it,” he said, and also told the court that the brakes and rear lights on the motorcycle had been repaired before the collision. The prosecution was conducted by deputy public prosecutors Afzainizam Abdul Aziz, Nasrul Hadi Abdul Ghani, V. Suloshani and Low Qin while lawyers M. Athimulan and Datuk Mior Faridalathrash Wahid also represented Mohd Nazri. The hearing continues tomorrow. — Bernama "
2024-12-03,Trump warns ‘hell to pay’ if Gaza hostages not freed before his inauguration,https://www.malaymail.com/news/world/2024/12/03/trump-warns-hell-to-pay-if-gaza-hostages-not-freed-before-his-inauguration/158718,"WASHINGTON, Dec 3 — US President-elect Donald Trump yesterday warned Gaza militants of massive repercussions if hostages are not released by the time he takes office. The threat comes after exhaustive diplomacy by outgoing President Joe Biden’s administration that has so far failed to secure a deal that would both end Israel’s war in Gaza and free hostages seized 14 months ago. “If the hostages are not released prior to January 20, 2025, the date that I proudly assume Office as President of the United States, there will be ALL HELL TO PAY in the Middle East, and for those in charge who perpetrated these atrocities against Humanity,” Trump wrote on his Truth Social platform. “Those responsible will be hit harder than anybody has been hit in the long and storied History of the United States of America. RELEASE THE HOSTAGES NOW!” Trump has vowed staunch support for Israel and to dispense with Biden’s occasional criticism, but has also spoken of his desire to secure deals on the world stage. Hamas staged the deadliest ever attack on Israel on October 7, 2023. The assault resulted in 1,208 deaths, mostly civilians, according to an AFP tally of Israeli official figures. Militants seized 251 hostages during the attack, some of whom were already dead. Of those, 97 are still held in Gaza, including 35 the army says are dead. Israel’s retaliatory campaign has killed 44,429 people in Gaza, according to figures from the territory’s health ministry that the United Nations considers reliable. — AFP  "
2024-12-03,"Concrete barriers block Kenyir route to stop stubborn drivers ignoring road closure, says police",https://www.malaymail.com/news/malaysia/2024/12/02/concrete-barriers-block-kenyir-route-to-stop-stubborn-drivers-ignoring-road-closure-says-police/158714,"KUALA TERENGGANU, Dec 2 — Both routes on Jalan Aring 8-Kenyir-Kuala Jeneris, along Jalan Tasik Kenyir near Hulu Terengganu, which were closed due to a landslide, have now been blocked with concrete barriers to prevent stubborn drivers from attempting to pass through the area. Hulu Terengganu police chief DSP Zainul Mujahidin Mat Yudin said that this action was taken because authorities found that some drivers were still attempting to use the road despite clear road closure signs being posted. ""We found that some members of the public were stubbornly risking their safety by trying to use the road, even though part of it had collapsed. The police are very concerned about this, and we hope that with the concrete barriers placed by the Public Works Department (JKR) of Hulu Terengganu, no drivers will try to access the road,"" he told Bernama. He added that the road is expected to remain closed for an extended period for repairs, as the landslide, which spans 100 metres, is quite severe. Yesterday, a video went viral on social media showing a four-wheel drive attempting to pass through the area, despite the land subsidence and landslides present. In a separate development, Zainul Mujahidin reminded residents of Hulu Terengganu, particularly those living near hillside slopes and cliffs, to remain vigilant and alert to their surroundings during the Northeast Monsoon season. ""During rainy weather, if you notice a small waterfall appearing on a hillside that wasn't there before, residents should pay attention and report it to the relevant authorities, as well as evacuate to a temporary relief centre (PPS) or a safer area. This could indicate a potential landslide. It's not just flood situations that require evacuation,"" he said. Last Friday, two siblings lost their lives while another was injured in a landslide that occurred at a house in Kampung Bukit Apit, Ajil, near Hulu Terengganu. — Bernama "
2024-12-03,"Najib says ‘still clueless’ over alleged personal interest in RM60M power abuse charge, insists he was just doing his job",https://www.malaymail.com/news/malaysia/2024/12/02/najib-says-still-clueless-over-alleged-personal-interest-in-rm60m-power-abuse-charge-insists-he-was-just-doing-his-job/158708,"KUALA LUMPUR, Dec 2 — Former prime minister Datuk Seri Najib Razak today denied having any personal interest in getting a government guarantee in 2009 for a RM5 billion debt in the form of bonds by 1Malaysia Development Berhad’s (1MDB) predecessor Terengganu Investment Authority (TIA) Berhad. In his 1MDB trial, Najib is facing 25 charges, including four charges of abusing his power in three roles — as prime minister, finance minister, and 1MDB’s board of advisers’ chairman — over 1MDB matters for his own financial benefit amounting to RM2.27 billion. Under the first power abuse charge, then-finance minister Najib is alleged to have misused his position on April 1, 2009 to get the Cabinet’s consent — through a Finance Ministry memorandum to the Cabinet — for the RM5 billion government guarantee to TIA. Under this first charge, Najib is accused of doing this for his own financial benefit of RM60.6 million. But Najib, 71, told the High Court here that he still does not know what personal interest he is alleged to have in this 2009 matter, and insisted that he was merely carrying out his job as the finance minister then. “To this day, my lawyers and I are still left to speculate on precisely what this supposed interest might be, is it in TIA, in Goldman Sachs, in the IMTN, in Ambank or in MBTI?” he said when testifying in his own defence. Najib was referring to the Islamic bonds or Islamic medium term notes (IMTN), TIA’s Islamic bonds financial advisor Goldman Sachs, TIA’s Islamic bonds arranger AmBank, and TIA’s owner Menteri Besar Terengganu Incorporated (MBTI). “I’m still clueless,” he added, after saying that the first power abuse charge did not specify what personal interest he had. “It seems we’re expected to engage in a guessing game rather than being presented with any specificity. We were and still are flying blind within the territory of this personal interest alleged against me,” he said. Explaining the April 1, 2009 Cabinet meeting chaired by then prime minister Tun Abdullah Ahmad Badawi, Najib earlier today said he was just carrying out his “official duty” as the then finance minister when he presented the Finance Ministry memorandum for the RM5 billion government guarantee. Najib said that he was merely carrying out the Cabinet’s instructions from its previous December 12, 2008 meeting in his capacity as finance minister, when he tabled the memorandum. “So, I had no ulterior personal motive in the presentation of the memorandum which was directed by the same Cabinet in the first place. “It goes without saying that I also do not have any personal interest to declare in the government guarantee to be extended to TIA, an entity controlled by the state of Terengganu,” he said. Najib stressed that his presenting of the memorandum to the Cabinet was not an abuse of his official position as finance minister, but was merely him discharging his official duty under his ministerial portfolio under the Cabinet’s instructions. Among other things, Najib today described the 1MDB trial against him as a “political prosecution”, claiming that he has been “extremely prejudiced” as investigators had allegedly not asked him to address the allegations of personal interest. Najib said this meant he did not have the chance to get investigators to understand his version of facts before a decision was made on whether to charge him, and said he would not get a fair hearing without a fair investigation. “This rush to charge me is yet another indication that the charges against me are politically motivated,” he claimed. Najib disagreed with the approach of charging an accused person first and only giving him the opportunity to explain later during trial through cross-examination, and that he hopes this alleged “injustice” ends with him. This morning, Najib did not start his trial with an opening statement, but went straight to reading out his 525-page witness statement. In the afternoon, Najib was heard coughing occasionally while testifying. Najib’s 1MDB trial before judge Datuk Collin Lawrence Sequerah resumes tomorrow morning.     "
2024-12-03,"Penang High Court awards RM400,000 to CM Kon Yeow in his defamation suit against tycoon Tan Kok Ping",https://www.malaymail.com/news/malaysia/2024/12/03/penang-high-court-awards-rm400000-to-cm-kon-yeow-in-his-defamation-suit-against-tycoon-tan-kok-ping/158744,"GEORGE TOWN, Dec 3 — The Penang High Court has awarded Penang Chief Minister Chow Kon Yeow with RM350,000 in damages and RM50,000 in costs in his defamation suit against Penang Chinese Chamber of Commerce life honorary president Tan Sri Tan Kok Ping. Penang High Court Judge Datuk Quay Chew Soon said Chow, as the plaintiff, has successfully proven his case for defamation against the defendant, Tan. He found that Chow’s suit had satisfied all three elements in defamation, in that the impugned statement made by Tan had referred to Chow, that the statements were defamatory and that the statements were published. “It is also my findings that the defences of justification, fair comment and qualified privilege were not proven and I find the defendant had acted with malice and was not entitled to rely on fair comment or qualified privilege,” he said. He said the defamatory statement, that was uttered in Mandarin, lies in three words that translated to mean incompetent, ignorant and shameless. “The plaintiff is the chief minister of Penang and must be perceived as capable and intelligent in the performance of his duties, he must command respect from the people of Penang,” he said when reading out the grounds for his judgement. He said when an influential figure like Tan accused Chow of being incompetent, ignorant and shameless, it has the propensity to smear Chow’s reputation. He also said that whatever the reasons Tan had to call a press conference on October 18 last year, there was no cause for Tan to single out Chow for public humiliation by describing him with those three words. He said the press conference was on the joint development agreement (JDA) of the BKIP2 project but at the time of the press conference, the JDA was already terminated and the BKIP2 project had ceased to exist. “Therefore, public interest was not served when it was on something that does not exist and this statement was not made on a privileged occasion as the public has no legal or moral duty of being informed of a non-existent project,” he said. While he said there was a project and there were a lot of questions circling the project, at the end of the day, the JDA was terminated and the project had ceased to exist. Quay said the Penang Development Corporation (PDC) had embarked on a different approach for the project so it was time to move on and not be saddled with the past. He also found that Tan’s anger towards Chow regarding the Silver Jubilee Home issue had never subsided. “Hence, when the opportunity arose for him to publicly humiliate the plaintiff, in respect of an issue which was unrelated to the Silver Jubilee fund, the defendant seized it,” he said. He said a parallel can be drawn between what Tan said in his resignation letter from the Silver Jubilee trustee board and in his statement in the press conference made four months later. “In essence, both amounted to a scathing attack on the character of Chow in his position as chief minister,” he said. He said the circumstances under which Tan’s resignation letter was written might be different from the press conference but the nature of attack in both instances is the same. “The attack is directed at the competency of the plaintiff as the chief minister, the statement made at the press conference and at paragraph 11 of the resignation letter bears similar connotations, thus when the defendant uttered the impugned statement, it is not wrong to postulate that he was echoing what was said four months earlier in his resignation letter,” he said. In Chow’s suit, he had asked for damages of RM300,000 for each publication of the impugned statements made by Tan which totalled to RM2.1 million. Quay said he is not in favour of making separate awards for each publication so he is awarding global damages of RM350,000 to Chow with interests of five per cent per annum from the date of judgement. “In line of giving a single award, I won’t make a separate award on aggravated damages and exaggerated damages is not warranted as the defendant did not make the statement to enrich himself,” he said. He also awarded Chow RM50,000 in costs. “On apology, I decline to use my discretion to make an order as to forcing a public apology,” he said. He said there was no indication from the defendant of any willingness to apologise and that a willingness to apologise should be sincere and conceived in a contrite heart. “It is counterproductive to force an apology when he’s steadfast in his stance that the wrong he did was supposedly right,” he said. Chow had filed the defamation suit against Tan after the latter made those remarks in a press conference regarding the proposed development project between PDC and Umech Land Sdn Bhd. PDC had announced the termination of the JDA with Umech Land before Tan called the press conference where he called Chow incompetent, ignorant and shameless in Mandarin. Tan’s remarks were published in six Chinese newspapers and one English daily. "
2024-12-03,Beat the rainy season blues with fresh Teochew seafood porridge and bouncy fish balls at Ang Mo Kang in Cheras,https://www.malaymail.com/news/eat-drink/2024/12/03/beat-the-rainy-season-blues-with-fresh-teochew-seafood-porridge-and-bouncy-fish-balls-at-ang-mo-kang-in-cheras/158726,"KUALA LUMPUR, Dec 3 – With the year end downpour, we have been feeling a tad chilly. Nothing better, really, than something soupy to warm us up and beat the rainy season blues. Something soupy or perhaps porridge? This is the star attraction at Ang Mo Kang Sekinchan Restaurant in Taman Bukit Segar, Cheras. Their Teochew style fish or seafood porridge, made with whatever is freshly caught and delivered directly from Sekinchan – hence the name. When asked, the manager shared with us that Ang Mo Kang is another name for Sekinchan, a small town in north-west Selangor. Famed for its paddy fields, Sekinchan is also a major fishing village so it is also known for its fresh seafood.   Indeed there are many seafood restaurants in Sekinchan, a whole row of them facing the fishing jetties. Most of the villagers and fishermen are Teochew so this cuisine is predominantly identified with how locals prepare their seafood. The draw at Ang Mo Kang, then, is for KL-ites to enjoy fresh Sekinchan seafood and Teochew style home cooking without making the two-hour, 100-kilometre drive to the fishing village itself. Regulars can choose from a variety of fish for their Teochew Fish Porridge, from the more popular grouper and pomfret to threadfin and red snapper. Clams are also available for those who prefer a more mollusc-forward porridge.   If you can’t make up your mind, a conundrum we often face, then do as we usually do in such circumstances and go for a mix. We went for a Teochew Mixed Seafood Porridge that included prawns and squid. For the mixed option, you can choose either grouper or pomfret for your fish component. While each bowl is cooked to order, the wait isn’t long to ensure the seafood isn’t overcooked. Our morsels of grouper were utterly tender without being mushy, a sign that fresh rather than frozen seafood is used. There isn’t the usual fishy smell, another sign of freshness. The prawns certainly stood out here, each still retaining a beautiful snap when we bite into the juicy sweet flesh. The broth was light but flavourful, enriched by the assortment of seafood with only a few strands of julienned young ginger needed to balance it. What a bowlful of comforting goodness!   If the seafood porridge served to nourish us, then the other dishes we chose were purely for pleasure. We had asked the manager for his recommendations and he suggested the Fried Chilli Shrimp and Fish Ball Soup. To be quite honest, the Fried Chilli Shrimp didn’t look like much when the server placed the dish on our table. Perhaps the dimensions were unhelpful; a large platter and a scattering of stir fried shrimps on a couple pale leaves of lettuce. Looks can be deceiving. Though the shrimps appeared diminutive in size (they have been stir fried after all) and far from fiery red in colour, they really packed a punch in terms of flavour and heat. These are addictive, so good we mostly ate them on their own without needing the accompaniment of a spoonful of porridge.   As tempted as we were to order another round of the spicy Fried Chilli Shrimp, we were glad we didn’t because our order of Fish Ball Soup was quite filling. These are available as bowls of five or 10 handmade fish balls. We went for the second option, so five bouncy fish balls each. Every bite had that desired “QQ” chew. More fish than filler, so we ate without guilt. Other recommended dishes include the Fried Clam Beehoon, Ginger Duck Porridge and Fried Fish Cake, but we really didn’t have space for more. Maybe next time. The space itself was clean and minimalist. Simply furnished. Besides the tables and chairs, there was nothing more in terms of décor beyond a row of posters showcasing the signature dishes.   Then again, when the food is this fresh and well prepared, you don’t really need fancy baubles and trimmings to draw customers into your shop. Word of mouth and consistent quality will keep regulars returning again and again. We certainly will come back. Ang Mo Kang Sekinchan Restaurant 红毛港潮州鱼粥 9, Jalan Manis 6, Taman Bukit Segar, Cheras, KL Open Mon-Sat 9:30am–3pm & 5–10pm; Sun 9:30am–10pm Phone: 012-366 9928 * This is an independent review where the writer paid for the meal. * Follow us on Instagram @eatdrinkmm for more food gems. "
2024-12-03,K-drama actor Park Min-jae dies at 32 from cardiac arrest in China,https://www.malaymail.com/news/showbiz/2024/12/03/k-drama-actor-park-min-jae-dies-at-32-from-cardiac-arrest-in-china/158730,"SEOUL, Dec 3 — Korean drama actor Park Min-jae, known for roles in titles such asLittle WomenandMr. Lee, has reportedly died at the age of 32. South Korean entertainment and sports portalXports Newsreported yesterday that Park died from sudden cardiac arrest in China last week. “My beloved brother has gone to rest. I hope as many people as possible can remember my brother. Please understand that I cannot contact everyone individually,” Park’s brother posted in Korean on the late actor’s Instagram account. A post shared by 박재형 (@pakzaehyung) His agency Big Title has since confirmed the news yesterday, describing him as “a beautiful actor who loved acting and always did his best for himself”. “We are truly grateful for the love and interest you have shown actor Park Min-jae. Although we will no longer be able to see his acting, we will remember him and be proud of him as an actor at Big Title. We pray that the deceased may rest in peace,” it said. A post shared by 박민재 (@parkminzae) Its chief executive, Hwang Joo-hye, also wrote: “The guy who said he would conquer China and go on a month-long trip ended up going on a very long trip. It was so sudden. Although it was a short time, I was grateful to be your representative, and I am sorry.” Park also appeared inGoryeo-Khitan War,Snap and Spark,Bo-ra! DeborahandCall It Love."
2024-12-03,"One man, five chests, RM9m in treasure hidden across US — here’s how to find them",https://www.malaymail.com/news/life/2024/12/02/one-man-five-chests-rm9m-in-treasure-hidden-across-us-heres-how-to-find-them/158702,"NEW YORK, Dec 2 — Ever dreamt of channelling your inner Jacques Cousteau and hunting for treasure? Well, Jon Collins-Black is making that dream a reality — but with a twist. His new book,There’s Treasure Inside, isn’t just a fun read; it’s a treasure map that’s sending adventurers across the United States on a thrilling quest to find five hidden chests, each containing riches worth over US$2 million (RM9 million). Collins-Black, a lifelong fantasy fan who grew up immersed in games likeDungeons & Dragons, told CNN that he has always been fascinated by the idea of treasure hunts. By 2015, after a successful career as a musician and entrepreneur, he was ready for a new challenge. Inspired by Forrest Fenn’s famous 2010 treasure hunt, Collins-Black set out to create something that would ignite the imagination of treasure seekers nationwide. “I wanted to have the chests spread out to give people the optimistic, adventurous possibility,” Collins-Black explained to CNN. Instead of a single hidden chest tucked away in the mountains, he envisioned multiple chests spread across the country, offering everyone a chance to get close to the treasure. Each chapter ofThere’s Treasure Insideholds detailed clues leading to one of the chests, and while Collins-Black isn’t spilling the beans on specifics, he assures readers that all the clues needed to find the treasure are in the book itself. To keep things under wraps, Collins-Black worked with as few people as possible. Even his wife didn’t get the scoop. “I couldn’t really consult other people because I didn’t want them to have the burden,” he was quoted as saying by CNN. It was a massive undertaking, and Collins-Black admits he had to experiment with the difficulty level of the clues through trial and error, but the result is a hunt that promises to challenge even the most dedicated treasure hunters. As excitement builds, thousands of treasure seekers are already gathering online, discussing theories and speculating on where the treasure might be hidden. Some are even convinced they’ve pinpointed the states where the chests are located. But don’t worry — this hunt is designed to be safe for all adventurers. No dangerous diving, climbing, or trespassing required. The sites are accessible to those in average health, and no digging is necessary. For Collins-Black, it’s all about fun — but don’t expect a treasure hunt that lasts for decades. “I do hope and think it might take a little while, but I don’t need this to take forever,” he told CNN. If the chests remain unfound, he may release more clues, or even write a sequel to keep the adventure alive. So what exactly is hidden inside these chests? Collins-Black carefully curated the treasures, working with historians and attending auctions to gather a one-of-a-kind collection. He even financed the pieces with money he saved from early bitcoin investments. Inside the chests, treasure hunters will find everything from rare Pokémon cards and shipwreck bounty to sports memorabilia, gold, and precious medals. There are even items with deep historical significance, like artefacts from Pablo Picasso, George Washington, Amelia Earhart, and Jacqueline Kennedy Onassis. While it’s tough for Collins-Black to pick a favourite, a few items stand out: a brooch once owned by Jackie Kennedy Onassis, a 96-carat emerald, and Wilma Rudolph’s 1960 Olympic gold medal. One item that didn’t make the cut, though, was an Albert Einstein pipe — Collins-Black lost it in a bidding war. To make things even more exciting, one chest has been made larger and more valuable than the others, raising the stakes for anyone brave enough to hunt it down. So will you be the one to find the grand prize? Time to start the hunt!"
2024-12-03,Do not pass go: Elon Musk loses bid to restore US$56b Tesla pay package,https://www.malaymail.com/news/money/2024/12/03/do-not-pass-go-elon-musk-loses-bid-to-restore-us56b-tesla-pay-package/158719,"WILMINGTON (Delaware), Dec 3 — A Delaware judge ruled yesterday that Tesla CEO Elon Musk still is not entitled to receive a US$56 billion (RM250 billion) compensation package despite shareholders of the electric vehicle company voting to reinstate it. The ruling by the judge, Chancellor Kathaleen McCormick of the Court of Chancery, follows her January decision that called the pay package excessive and rescinded it, surprising investors, and cast uncertainty over Musk’s future at the world’s most valuable carmaker. Musk did not immediately respond to an emailed request for comment. Tesla has said in court filings that the judge should recognize a subsequent June vote by its shareholders in favor of the pay package for Musk, the company’s driving force who is responsible for many of its advances and reinstate his compensation. McCormick said Tesla’s board was not entitled to hit “reset” to restore Musk’s pay package. “Were the court to condone the practice of allowing defeated parties to create new facts for the purpose of revising judgments, lawsuits would become interminable,” she said in her 101-page opinion. She also said Tesla made multiple material misstatements in its proxy statement regarding the vote and could not claim the vote was a “cure-all” to justify restoring Musk’s pay. “Taken together,” the problems with Tesla’s arguments “pack a powerful punch,” she wrote. Tesla shares fell 1.4 per cent in after-hours trade, after the ruling. McCormick also ordered Tesla to pay the attorneys who brought the case US$345 million, well short of the US$6 billion they initially requested. She said the fee could be paid in cash or Tesla stock. “We are pleased with Chancellor McCormick’s ruling, which declined Tesla’s invitation to inject continued uncertainty into Court proceedings,” said a statement from Bernstein Litowitz Berger & Grossmann, one of the three law firms for the plaintiff. The law firm also said it looked forward to defending the court’s opinion if Musk and Tesla appealed. Musk and Tesla can appeal to the Delaware Supreme Court as soon as McCormick enters a final order, which could come as soon as this week. The appeal could take a year to play out. After the January ruling, Tesla shareholders flooded the court with thousands of letters arguing that rescinding Musk’s pay increased the possibility he would leave Tesla or develop some products like artificial intelligence at ventures other than Tesla. Attorneys for shareholder Richard Tornetta, who sued in 2018 to challenge Musk’s compensation package, had argued that Delaware law does not permit a company to use a ratification vote to essentially overturn the ruling from a trial. McCormick in January found that Musk improperly controlled the 2018 board process to negotiate the pay package. The board had said that Musk deserved the package because he hit all the ambitious targets on market value, revenue and profitability. But the judge criticized Tesla’s board as “beholden” to Musk, saying the compensation plan was proposed by a board whose members had conflicts of interest due to close personal and financial ties to him. After the January ruling, Musk criticised the judge on his social media platform X and encouraged other companies to follow the lead of Tesla and reincorporate in Texas from Delaware, although it is unclear if any companies did so. The judge in her January ruling called the pay package the “biggest compensation plan ever - an unfathomable sum.” It was 33 times larger than the next biggest executive compensation package, which was Musk’s 2012 pay plan. As of yesterday, the pay package was worth US$101.4 billion, according to Equilar, a compensation consulting firm. Musk’s 2018 pay package gave him stock grants worth around 1 per cent of Tesla’s equity each time the company achieved one of 12 tranches of escalating operational and financial goals. Musk did not receive any guaranteed salary. Tornetta argued that shareholders were not told how easily the goals would be achieved when they voted on the package. — Reuters  "
