Date,Title,Link,Article Text
2024-12-04,S.Korean president abandons martial law attempt,https://www.malaymail.com/news/world/2024/12/04/skorean-president-abandons-martial-law-attempt/158806,"SEOUL, Dec 4 — South Korean President Yoon Suk Yeol abandoned a short-lived attempt at martial law today, reversing course after lawmakers defied security forces to vote against his declaration and thousands of protesters took to the streets. Yoon’s shock bid to impose South Korea’s first martial law in over four decades plunged the country into its deepest turmoil in its modern democratic history and caught even South Korea’s closest allies around the world off guard. It also left the future of Yoon — a conservative politician and former star public prosecutor who was elected president in 2022 — in jeopardy. South Korea’s main opposition party — whose lawmakers jumped fences and tussled with security forces so they could vote to overturn the law — demanded Yoon to step down immediately over the attempted “insurrection”. The nation’s largest umbrella labour union also called an “indefinite general strike” until Yoon resigned. And the leader of Yoon’s own ruling party even described the attempt as “tragic” while calling for those involved to be held accountable. Yoon backed down after lawmakers voted to oppose the declaration, which he made late on Tuesday night citing the threat of North Korea and “anti-state forces”. “Just a moment ago, there was a demand from the National Assembly to lift the state of emergency, and we have withdrawn the military that was deployed for martial law operations,” Yoon said in a televised address around 4:30 am (5.30pm Malaysian time). “We will accept the National Assembly’s request and lift the martial law through the Cabinet meeting.” Yonhap news agency then reported that Yoon’s cabinet had approved the motion to lift the order. The U-turn prompted jubilation among protesters outside parliament who had braved freezing temperatures to keep vigil through the night in defiance of Yoon’s martial law order. Demonstrators who had been waving South Korean flags and chanting “Arrest Yoon Sul Yeol” outside the National Assembly erupted in cheers. Lim Myeong-pan, 55, told AFP that Yoon’s decision to rescind martial law did not absolve him of wrongdoing. “Yoon’s act of imposing it in the first place without legitimate cause is a serious crime in itself,” Lim told AFP. “He has paved his own path to impeachment with this.” Defying security forces, 190 lawmakers managed to get in to the assembly in the early hours of today and unanimously voted to oppose martial law. Under the constitution, martial law must be lifted when a majority in parliament demands it.   International concern Yoon had given a range of reasons to justify martial law—South Korea’s first in more than 40 years. “To safeguard a liberal South Korea from the threats posed by North Korea’s communist forces and to eliminate anti-state elements plundering people’s freedom and happiness, I hereby declare emergency martial law,” Yoon said in a televised address. Yoon did not give details of the North’s threats, but the South remains technically at war with nuclear-armed Pyongyang. “Our National Assembly has become a haven for criminals, a den of legislative dictatorship that seeks to paralyse the judicial and administrative systems and overturn our liberal democratic order,” Yoon said. The president labelled the main opposition Democratic Party, which holds a majority in the 300-member parliament, “anti-state forces intent on overthrowing the regime”. Yoon and his People Power Party are also bitterly at odds with the opposition over next year’s budget. Opposition MPs last week approved a significantly downsized budget plan through a parliamentary committee. The imposition of emergency martial law came after Yoon’s approval rating dropped to 19 percent in the latest Gallup poll last week, with many expressing dissatisfaction over his handling of the economy and controversies involving his wife, Kim Keon Hee. Concern, relief Democratic South Korea is a major ally for the United States in Asia, but Washington said it was not given advance notice of Yoon’s plan to impose martial law. The United States initially voiced “grave concern” at the declaration, then relief. “We are relieved President Yoon has reversed course on his concerning declaration of martial law and respected the ROK National Assembly’s vote to end it,” a National Security Council spokesperson said in a statement, using the acronym for South Korea’s official name. China, a key ally of North Korea, had urged its nationals in the South to stay calm and exercise caution, while Britain said it was “closely monitoring developments”. Vladimir Tikhonov, professor of Korea studies at the University of Oslo, said Yoon’s move to impose martial law was “an attempt to wind the history back”. “I don’t think South Korea’s civil society can recognise Yoon as a legitimate president any longer,” he told AFP. — AFP "
2024-12-04,"FashionValet founders Vivy Yusof, Fadzaruddin to face charges tomorrow linked to Khazanah, PNB investment losses",https://www.malaymail.com/news/malaysia/2024/12/04/fashionvalet-founders-vivy-yusof-fadzaruddin-to-face-charges-tomorrow-linked-to-khazanah-pnb-investment-losses/158823,"KUALA LUMPUR, Dec 4 — The founding couple of the e-commerce platform FashionValet, Datin Vivy Yusof, and her husband, Datuk Fadzaruddin Shah Anuar, are expected to be charged at the Sessions Court here tomorrow. The charges are believed related to the investment losses of government-linked investment companies Khazanah Nasional Berhad (Khazanah) and Permodalan Nasional Berhad (PNB) in FashionValet, totalling RM43.9 million. Malaysian Anti-Corruption Commission (MACC) chief Tan Sri Azam Baki confirmed the court action against the duo, several local news outlets including Berita Harian and Harian Metro reported last night, after the couple were arrested at noon but released on bail earlier yesterday. The MACC announced the completion of its investigations into the investment loss on November 28, following its submission to government lawyers for review and consideration. The MACC previously said it detected several suspicious transactions in the investigation concerning the investment losses in the e-commerce company. These suspicious transactions were traced from 2018 until last year."
2024-12-04,"Loke urges vehicle owners to heed JPJ recall notices, highlights safety risks",https://www.malaymail.com/news/malaysia/2024/12/03/loke-urges-vehicle-owners-to-heed-jpj-recall-notices-highlights-safety-risks/158797,"JELEBU, Dec 3 — Vehicle owners must be more attentive to announcements regarding recall for inspection by the Road Transport Department (JPJ), said Transport Minister Anthony Loke. He said that although it is not an offence if they fail to comply with such announcements, it is to avoid risks to personal and public safety, especially if the vehicle has hazardous issues. “Usually, when a manufacturer finds any defect or technical issue with the vehicle, they are required to notify JPJ, and JPJ will then announce the recall. This is the standard procedure. “It is a personal risk, not an issue of guilt... if they do not respond to the JPJ recall (for inspection), they will bear the safety risks, which we do not want, that’s why the announcement comes from JPJ because owners will take it more seriously. If the company calls, they might ignore it because it’s not from the authorities,” he said. He told this to reporters after officiating the closing ceremony of the Negeri Sembilan-level MyLesen Programme 2024, which benefitted over 400 recipients, including the Orang Asli community, students, and youth. Loke further explained that previously, vehicle manufacturers usually made recall announcements, but the government now mandates that such announcements be made by JPJ. Previously, the media reported that JPJ had initiated recalls of various vehicle types for inspection due to technical issues, including problems with wheel speed sensors affecting the Anti-lock Braking System (ABS), traction control, and speedometer accuracy. Meanwhile, Loke, who is also the Member of Parliament for Seremban, said as of yesterday, over 11 million individuals had the JPJeID to access the MyJPJ App, while more than 14 million users had downloaded the app. “As of Oct 31, RM222.7 million has been recorded for transactions related to the renewal of Road Tax and Malaysian Driving Licences digitally. This shows acceptance of the digital transformation, which enhances efficiency for both users and the department,” he said. Earlier, Loke said that 2,239 individuals successfully obtained Class B2 (Motorcycle) and PSV (E-Hailing) licences in the state this year, with 591 Orang Asli obtaining Class B2 driving licences. “We are also collaborating with the Department of Orang Asli Development (JAKOA) to identify eligible Orang Asli individuals for driving licences this year, including in Negeri Sembilan. This is our focus as their awareness is still low,” he said. He added that the MyLesen programme presents an opportunity for the B40 group to improve their standard of living, as it allows individuals to work in sectors that require transportation, such as e-hailing drivers or other jobs requiring a driving licence.— Bernama  "
2024-12-04,Singapore tycoon behind RM228m electronic scrap scam arrested in Johor after 19 years on the run,https://www.malaymail.com/news/singapore/2024/12/04/singapore-tycoon-behind-rm228m-electronic-scrap-scam-arrested-in-johor-after-19-years-on-the-run/158814,"SINGAPORE, Dec 4 — Singaporean businessman Ng Teck Lee, 58, and his wife, Thor Chwee Hwa, 55, were arrested in Malaysia yesterday after nearly two decades on the run over a multimillion-dollar embezzlement case,The Straits Timesreported today. The couple fled Singapore in 2005 during investigations into Ng’s alleged misuse of electronic scrap from his company, Citiraya Industries, which defrauded clients of over US$51 million (RM228 million). Ng, the former CEO of Citiraya, allegedly orchestrated a scheme to divert shipments of electronic scrap meant for recycling, selling the materials as new products through syndicates in Hong Kong and Taiwan. Investigations by Singapore’s Corrupt Practices Investigation Bureau (CPIB) revealed he misappropriated 89 tonnes of scrap and paid nearly S$2 million in bribes to employees and associates. Ng’s wife was also implicated in the operation, which came to light in December 2004 when Taiwanese authorities intercepted a chip marked for destruction. Authorities have since prosecuted 12 individuals, handing down sentences ranging from eight months to eight years. The couple evaded capture by assuming false identities, despite extensive efforts that included warrants, Interpol Red Notices, and seizure of assets totalling S$23 million, including luxury properties. The CPIB confirmed this as the largest asset seizure against an individual on record. According toThe Straits Times, Ng and Thor were apprehended in Johor Baru by the Malaysian Anti-Corruption Commission (MACC) and extradited to Singapore the same day. CPIB director of investigations Vincent Lim lauded the collaboration with MACC, telling the paper: “The successful arrest... attests to the longstanding ties and close cooperation between CPIB and MACC.” “There is zero tolerance and no safe haven for those who choose to break our laws... CPIB will spare no effort to track them down wherever they may hide and bring them to face justice in Singapore.” Ng will face charges of criminal breach of trust, while Thor is charged under the Corruption, Drug Trafficking and Other Serious Crimes Act. Both will appear in court today."
2024-12-04,"After nearly RM4b spent, FT ministry scraps five out of 12 River of Life projects as ‘not significant enough’",https://www.malaymail.com/news/malaysia/2024/12/04/after-nearly-rm4b-spent-ft-ministry-scraps-five-out-of-12-river-of-life-projects-as-not-significant-enough/158835,"KUALA LUMPUR, Dec 4 — Five projects under the River of Life (RoL) initiative in the Klang Valley have been cancelled after Putrajaya reviewed 12 of its projects, which were still in the pre-execution phase. The Federal Territories Ministry said it reviewed 12 of the RoL projects in the pre-execution stage to ensure that only the most significant initiatives proceed. “Therefore, five projects have been cancelled as they are not significant enough to achieve the objectives of the River of Life’s implementation. “However, seven other projects will proceed to achieve the initial objective of the project namely cleaning and beautifying rivers,” its minister Dr Zaliha Mustafa said in a written reply to Parliament yesterday. The RoL, launched by the federal government, aims to transform the Gombak River and the Klang River into dynamic and liveable waterfronts with high economic value. The Auditor-General’s report in July found that the RoL project that was supposed to wrap up this year, is nowhere near completion. The project has so far used up RM3.915 billion, making up 89.7 per cent of its ceiling cost."
2024-12-04,Najib: My phone call to 1MDB chairman was not to pressure 1MDB board to approve US$1b deal,https://www.malaymail.com/news/malaysia/2024/12/03/najib-my-phone-call-to-1mdb-chairman-was-not-to-pressure-1mdb-board-to-approve-us1b-deal/158799,"KUALA LUMPUR, Dec 3 ± Former prime minister Datuk Seri Najib Razak today denied that he had intended in 2009 to pressure government-owned 1Malaysia Development Berhad (1MDB) into approving a US$1 billion joint venture with PetroSaudi International Limited (PSI). Testifying as the first defence witness in his 1MDB trial, Najib explained his September 26, 2009 phone conversation with 1MDB chairman Tan Sri Mohd Bakke Salleh just before the 1MDB board of directors started their meeting on the proposed US$1 billion joint venture. Najib said he had on that day received a call on his mobile phone from Low Taek Jho — a Malaysian fugitive better known as Jho Low. Among other things, Najib claimed that Low had asked if he could briefly speak with Bakke before the 1MDB board meeting starts, to share the US$1 billion deal’s context of the alleged “government to government” initiative between Malaysia and Saudi Arabia. “I agreed, and Jho Low passed the phone to Tan Sri Bakke. In our short exchange, I simply requested Tan Sri Bakke to consider PSI’s proposal, as it was a ‘Government-to-Government’ initiative that the 1MDB board of directors had been reviewing for a while. “I asked that he and the board proceed with firming up a decision, which I assumed would be after hearing Jho Low’s briefing from PSI’s perspective,” he told the High Court, adding however that he later found out that Low did not actually deliver the briefing at the 1MDB board meeting. “It is important to clarify that my purpose in this brief exchange was not to direct or pressure the board to participate in the joint venture with PSI,” he said, claiming that he had only intended to encourage Bakke to consider the proposal. “I categorically deny that my brief exchange with Tan Sri Bakke was meant to compel or even influence the board to participate in a joint venture with PSI,” he again said later. Najib said he had not asked Bakke to put his phone call on speaker for him to direct the entire 1MDB board on the US$1 billion joint venture. Najib denied ordering or directing Bakke to convince the 1MDB board to agree to the joint venture, and also denied ordering Bakke to direct the rest of the 1MDB board to do so as if it was a directive from Najib.   Asked again about Low’s request for him to speak with Bakke before the 1MDB board meeting, Najib said: “I did not give it much thought, I just simply agreed to speak with Tan Sri Bakke as Jho Low’s request seemed reasonable. My brief exchange with Tan Sri Bakke was in no way intended to influence him or the Board in their decision-making process.” Najib claimed that Bakke would have ensured that the 1MDB board meeting minutes on September 26, 2009 recorded any directive by Najib on the joint venture, if he had made such a directive to Bakke. “However, no such directive is recorded, further supporting that my brief exchange with Tan Sri Bakke did not and was not intended to influence the Board’s decision,” he said. Najib said it would have been essential for Bakke to ensure the meeting minutes recorded any such directives from Najib, to show that the 1MDB board was acting on Najib’s direct order and also to protect Bakke himself and the 1MDB board by documenting that their decision was based on Najib’s instructions. “The fact that he did not record this in the minutes indicates that, even in his mind, he did not perceive our brief exchange as a directive or order from me,” Najib claimed, also asserting that Bakke did not tell the High Court that Najib had directed him. “Assuming Tan Sri Bakke did relay the details of our brief exchange to the board, it’s worth noting that none of the board members felt that the exchange constituted a directive or order and this would suggest that they viewed their decision to resolve that 1MDB enter into the joint venture with PetroSaudi International Limited as independent and agreeable on its own merits, rather than as an instruction from me,” he claimed. Najib said Bakke who was then Felda chairman saw him from time to time, adding that Bakke could have easily raised any doubts about 1MDB to him but said the latter did not do so. Previously, Bakke had told the 1MDB trial that the 1MDB board members had agreed not to include Najib’s phone call in the September 26, 2009 meeting minutesto leave his name out of the public domain, and that this hadinsulatedthen prime minister Najib. The prosecution had previously said in this trial that it would prove that US$20 million (over RM60 million), from the US$1 billion joint venture had ended up in Najib’s personal bank account. Najib’s 1MDB trial before judge Datuk Collin Lawrence Sequerah resumes tomorrow morning.  "
2024-12-04,How to spot a loan shark: Crucial warning signs every borrower must know,https://www.malaymail.com/news/malaysia/2024/12/04/how-to-spot-a-loan-shark-crucial-warning-signs-every-borrower-must-know/158209,"KUALA LUMPUR, Dec 4 — Loan sharks are now trawling cyberspace, particularly social media platforms like TikTok, making it increasingly challenging for borrowers to distinguish between licensed moneylenders and illegal operators. As of October this year, Bukit Aman Commercial Crime Investigation Department has recorded 777 cases linked to loan sharks. Even school students are being targeted. In a recent case, a 15-year-old boy from Selangor revealed he had racked up RM13,000 in debt to 12 loan sharks after responding to an advertisement on TikTok. So, how can you identify a loan shark? Here are some key warning signs to watch out for: Legal moneylenders must be licensed and display their licences at their business premises. Under the Moneylenders Act 1951, moneylenders are required to apply for a licence from the Registrar of Moneylenders. This licence, unless revoked earlier, is valid for two years, and moneylenders must apply for renewal at least 60 days before it expires. Unlicensed moneylenders can face fines ranging from RM250,000 to RM1 million, imprisonment for up to five years, or both. Repeat offenders may also be subject to corporal punishment in addition to the penalties mentioned. The Act also mandates that licensed moneylenders must display their original licence at their business premises at all times. Failure to do so can result in a fine of up to RM10,000, a jail term of up to six months, or both. Borrowers have the right to request to see the moneylender’s licence to ensure they are dealing with a legitimate, licensed moneylender rather than a loan shark. Borrowers must obtain a duly stamped copy of the agreement Section 16 of the Moneylenders Act requires that the moneylending agreement be signed by all parties and duly stamped before a copy is provided to the borrower. If this requirement is not met, the agreement is deemed unenforceable, and the moneylender may face a fine of up to RM10,000, imprisonment for up to 12 months, or both. This is often the most glaring omission in loan shark arrangements. Victims are typically asked to sign an agreement but are not given a copy of it. Reasonable versus excessive interest rates Loan sharks typically charge exorbitant interest rates, which can range from 10 to 20 per cent per week. However, Section 17A(1) of the Act states that the interest rate for a secured loan (one backed by collateral) cannot exceed 12 per cent per annum, while the interest rate for an unsecured loan (without collateral) cannot exceed 18 per cent per annum. Any interest rates exceeding these limits render the moneylending agreement void and unenforceable. Strictly no house or workplace visits Loan sharks are notorious for intimidating defaulters by throwing red paint at their houses or workplaces. They may also resort to shaming tactics, such as posting pictures of defaulters in their neighbourhoods, claiming they owe money to loan sharks. However, Section 29(B) of the Act strictly prohibits moneylenders or their representatives from visiting or monitoring a borrower’s home or workplace. A moneylender found guilty of this offence can be fined between RM50,000 and RM250,000, or jailed for up to three years, or both. Representatives of the moneylender who are found guilty can face fines ranging from RM10,000 to RM50,000, imprisonment for up to two years, or both. If the harassment causes harm to another person, the offender may also face up to two years of imprisonment and whipping under the Act.   "
2024-12-04,"Beware, loan sharks are now on Tik Tok! Here’s how they bait students using social media influencers",https://www.malaymail.com/news/malaysia/2024/12/04/beware-loan-sharks-are-now-on-tik-tok-heres-how-they-bait-students-using-social-media-influencers/157987,"KUALA LUMPUR, Dec 3 — Loan sharks have traded posters on trees and lamp posts for flashy advertisements on social media platforms like TikTok, targeting school students in a worrying new trend. The illegal lenders are luring students, particularly those hooked on online gambling or frequent travel, with offers of “emergency loans” or “quick loans” that appear easy and hassle-free. The shift came to light when a 15-year-old boy from Selangor recently revealed he had racked up RM13,000 in debt to 12 loan sharks. The teenager said he borrowed the money to indulge his girlfriend’s craving forsiakap tiga rasa— barramundi cooked in a spicy, sweet, and sour sauce. While students may seem like unlikely targets due to their limited pocket money, loan sharks are finding the strategy profitable, thanks to the reach and influence of social media. Isaac, a loan shark agent who spoke on condition of anonymity, explained that TikTok and other platforms have become lucrative avenues for illegal moneylenders.   “They hire agents to scout for influencers with a large following, offering them advertisement deals to promote loan services,” he said. This new tactic highlights how loan sharks are evolving to exploit digital platforms, raising concerns about the risks posed to vulnerable young users. He said some social media influencers can earn up to RM2,000 by pinning loan shark advertisements on their pages for just two days. If their followers show interest in borrowing money, the influencers connect them to an agent, who then refers them to the loan sharks. “If you just type ‘loans’ on TikTok or Facebook, you’ll see many ‘ah long’ advertisements using phrases like ‘emergency loans’, ‘fast loans’, or ‘loans for those not working’. “No ‘ah long’ will openly admit they are one. “School students usually borrow from loan sharks because they want to go on vacations or cover expenses that their pocket money can’t accommodate. “Loan sharks typically lend between RM2,000 and RM5,000 to school students, charging interest rates of 10 to 20 per cent per week. “They conduct background checks on the students, and the wealthier their parents are, the higher the loan amounts they approve. “If a student introduces another friend to the loan shark, they receive a commission of about RM100 to RM200. While it’s not a significant amount, students looking to make quick cash often fall for this,” Isaac toldMalay Mail. When students fail to repay their debts on time — which is almost always the case — their parents are often forced to step in and negotiate with the loan sharks for a lump sum settlement. According to Isaac, the loan sharks typically demand that parents settle only the accumulated interest, which is still significantly higher than the amount initially borrowed by the student. If parents refuse to pay, loan sharks resort to public shaming by putting up posters in the student’s neighbourhood, declaring that they owe money to ‘ah longs’. To avoid such embarrassment, most parents end up paying. Some parents, however, fall into deeper trouble by turning to middlemen who claim they can make the loan sharks go away. Isaac explained that these intermediaries often present themselves as champions fighting against illegal moneylenders on social media. While they negotiate settlements on behalf of the victims, these middlemen secretly take a cut from the payment without the victim or the loan shark realising it. “The victim believes they’ve fully settled the loan, but the loan shark continues to chase them, thinking there’s still an outstanding balance,” he said. "
2024-12-04,Housing minister: 13 hours of continuous rain causes flash floods in Ipoh’s Arena Kepayang Putra,https://www.malaymail.com/news/malaysia/2024/12/03/housing-minister-13-hours-of-continuous-rain-causes-flash-floods-in-ipohs-arena-kepayang-putra/158803,"IPOH, Dec 3 — Unusually heavy rain that continued for more than 13 hours with rainfall reaching 92.5 millimetres (mm) per hour at the Ulu Kinta Dam was the cause of the flash floods at Arena Kepayang Putra, Fair Park here, on December 1. Housing and Local Government Minister Nga Kor Ming said this was based on an initial report issued by the Malaysian Meteorological Department (MetMalaysia) and the Ipoh City Council (MBI). “The results of initial investigations by the Ipoh City Council and the Malaysian Fire and Rescue Department (JBPM) showed that continuous rain around Ipoh since Saturday had caused the water level of the Kinta River to rise sharply. “The next day, the continuous rain caused the river water to overflow into residential areas, affecting about 200 households in the Arena Kepayang Putra and Fair Park areas,” he said in a statement today. On Dec 1, residents and rescue teams had to wade through water filled with garbage and oil to help evacuate victims stranded by the flood, in addition to the flash floods that occurred in the area being described as the worst in the past 30 years. Therefore, Nga, who is the state assemblyman for Kepayang, said the government was considering a proposal to upgrade the river embankment along the Kinta River as a long-term solution to address the risk of flooding due to increasingly serious climate change. Nga said the DAP, JBPM and MBI service teams had taken immediate action to carry out clean-up operations after the flood waters had completely receded today. He said based on the rainfall intensity category under the Irrigation and Drainage Department, rainfall exceeding 60mm per hour was classified as very heavy rain with more than 60mm of rain within two to four hours causing flash floods. “The Kinta area also recorded monthly rainfall that exceeded the long-term average in November with a total of 370.2 mm compared to the average of 298.5 mm. “To prevent such incidents, the federal government has approved RM108.5 million for the flood mitigation project in Sungai Kinta/Kampar,” he said. — Bernama  "
2024-12-04,Najib: ‘Only fools would believe’ I would risk my career to receive just US$20m as Malaysia’s most powerful person,https://www.malaymail.com/news/malaysia/2024/12/04/najib-only-fools-would-believe-i-would-risk-my-career-to-receive-just-us20m-as-malaysias-most-powerful-person/158844,"KUALA LUMPUR, Dec 4 — Former prime minister Datuk Seri Najib Razak today said it is unbelievable to think that he would stake his position as the head of government at the time to commit a crime for just US$20 million of 1MDB’s funds in 2011 in his personal AmIslamic bank account. Challenging this accusation that he would abuse his powers for US$20 million, Najib pointed out he was the most powerful official in Malaysia then as the prime minister. “Yet, the prosecution alleges that I – while holding the two most powerful positions in terms of being the head of the government of Malaysia and the head of the financial sector of public spending, prime minister and finance minister respectively – would jeopardise my political career and reputation, built over 40 years, to commit a criminal act for the sake of receiving US$9,999,977 on two separate occasions. “This is a desperate claim that only fools would believe,” he told the High Court when testifying in his 1MDB trial. Najib was responding to the prosecution’s assertion under his first power abuse charge that he abused his position to direct the 1MDB board of directors to pass a resolution authorising the company to join a US$1 billion joint venture with PetroSaudi International Limited in order to receive the US$20 million. The prosecution said Najib received the US$20 million in two tranches of US$9,999,977 or over US$9.99 million on February 24, 2011 and on June 14, 2011, which originated from US$700 million – from 1MDB’s US$1 billion for the joint venture – that was diverted in 2009 to Low Taek Jho’s Good Star Limited. Najib said he was not involved in the misappropriation of 1MDB money, and claimed there is no evidence that any of 1MDB’s US$700 million misappropriated through Good Star came to him. While the prosecution produced a money trail report showing how US$20 million originating from 1MDB’s US$700 million reached Najib’s account, the man himself challenged the assertion. Najib said the money trail report had distorted the facts. He described the power abuse charge against him as baseless and absurd, contrasting the idea that he was willing to undertake a crime for just tens of millions with others who he claimed received hundreds of millions in 1MDB funds. He named the Malaysian fugitive better known as Jho Low, and PetroSaudi officials, notably its CEO Tarek Obaid and its chief investment officer Patrick Mahony as having received much more money than him. Najib said the prosecution paints him as the “most generous and self-sacrificing” alleged co-conspirator in history, but called this claim illogical and defying common sense. “The prosecution’s narrative essentially alleges that I generously enabled everyone to enrich themselves with hundreds of millions while I, purportedly Jho Low’s ‘mirror image’ and the so-called joint mastermind of this scheme, received a mere fraction of the spoils years later, while on the other hand Jho Low immediately would receive a total of US$547 million, Tarek Obaid US$120 million and Patrick Mahony US$33 million,” he said. He said even Mahony as a company employee received US$33 million, adding that Low and Tarek used the hundreds of millions to buy multi-million dollar properties, luxury jewellery and other extravagant items. Najib claimed that Low, Tarek and Mahony orchestrated an elaborate deception to misappropriate and siphon off 1MDB’s US$700 million, and said he was not involved in this scheme. “Importantly, the court made no mention of me as a participant in these fraudulent transactions or as a recipient of any laundered funds,” he said, referring to the Switzerland Federal Criminal Court’s August 28 decision which convicted Tarek and Mahony for their role in a US$1.8 billion 1MDB fraud case. In the 1MDB trial, Najib is facing 25 criminal charges, including four charges of abusing his power for RM2.27 billion for his own financial benefit, and 21 money laundering charges involving over RM2 billion of 1MDB funds. On the first day of trial, the prosecution said it would prove that Najib had made it clear to 1MDB officers and 1MDB directors that Low was his alter ego, and that Low was Najib’s mirror image and that they had acted as one.  "
